系统负载异常值报告
==================================================

生成时间: 2025-03-24 22:56:33


● CPU Group 1:
  检测到 420 个异常值 (高于 241.50%)
  最高的 20 个异常值:
    - 2024-06-22 12:00:00: 2491.36% (极端异常)
    - 2024-09-09 09:00:00: 2381.25% (极端异常)
    - 2024-09-09 15:00:00: 2032.87% (极端异常)
    - 2024-09-09 13:00:00: 2007.12% (极端异常)
    - 2024-09-09 11:00:00: 1970.07% (极端异常)
    - 2024-02-25 09:00:00: 1969.45% (极端异常)
    - 2024-09-09 10:00:00: 1958.18% (极端异常)
    - 2024-02-25 08:00:00: 1855.73% (极端异常)
    - 2024-09-09 12:00:00: 1755.01% (极端异常)
    - 2024-04-24 07:00:00: 1581.63% (极端异常)
    - 2024-09-10 04:00:00: 1570.78% (极端异常)
    - 2024-09-09 19:00:00: 1542.27% (极端异常)
    - 2024-09-09 22:00:00: 1518.23% (极端异常)
    - 2024-09-10 00:00:00: 1515.76% (极端异常)
    - 2024-09-09 18:00:00: 1494.33% (极端异常)
    - 2024-04-24 12:00:00: 1482.30% (极端异常)
    - 2024-09-09 23:00:00: 1481.66% (极端异常)
    - 2024-09-10 07:00:00: 1477.30% (极端异常)
    - 2024-09-10 02:00:00: 1471.92% (极端异常)
    - 2024-09-10 03:00:00: 1470.71% (极端异常)

● CPU Group 2:
  检测到 24155 个异常值 (高于 7.78%)
  最高的 20 个异常值:
    - 2024-11-04 10:00:00: 3799.30% (极端异常)
    - 2024-10-14 11:00:00: 3349.93% (极端异常)
    - 2024-10-15 06:00:00: 2559.40% (极端异常)
    - 2024-06-15 17:00:00: 1991.29% (极端异常)
    - 2024-06-15 11:00:00: 1944.98% (极端异常)
    - 2024-06-15 21:00:00: 1918.14% (极端异常)
    - 2024-06-15 09:00:00: 1909.09% (极端异常)
    - 2024-06-15 08:00:00: 1905.31% (极端异常)
    - 2024-06-16 02:00:00: 1895.10% (极端异常)
    - 2024-06-15 19:00:00: 1894.15% (极端异常)
    - 2024-06-15 16:00:00: 1893.58% (极端异常)
    - 2024-06-14 22:00:00: 1890.55% (极端异常)
    - 2024-06-15 15:00:00: 1884.14% (极端异常)
    - 2024-06-15 10:00:00: 1882.86% (极端异常)
    - 2024-06-14 16:00:00: 1882.44% (极端异常)
    - 2024-06-16 05:00:00: 1881.60% (极端异常)
    - 2024-06-16 04:00:00: 1880.72% (极端异常)
    - 2024-06-15 20:00:00: 1877.00% (极端异常)
    - 2024-06-16 00:00:00: 1873.98% (极端异常)
    - 2024-06-15 12:00:00: 1873.72% (极端异常)

● CPU Group 3:
  检测到 26911 个异常值 (高于 2.53%)
  最高的 20 个异常值:
    - 2024-03-21 10:00:00: 52946.46% (极端异常)
    - 2024-03-21 16:00:00: 26222.30% (极端异常)
    - 2024-03-21 15:00:00: 25477.35% (极端异常)
    - 2024-03-21 16:00:00: 24463.89% (极端异常)
    - 2024-03-25 17:00:00: 24040.83% (极端异常)
    - 2024-03-21 20:00:00: 11401.94% (极端异常)
    - 2024-09-01 04:00:00: 3612.47% (极端异常)
    - 2024-09-01 05:00:00: 3595.31% (极端异常)
    - 2024-09-01 03:00:00: 3589.41% (极端异常)
    - 2024-09-01 02:00:00: 3565.70% (极端异常)
    - 2024-09-01 04:00:00: 3554.19% (极端异常)
    - 2024-09-01 01:00:00: 3542.37% (极端异常)
    - 2024-09-01 03:00:00: 3532.37% (极端异常)
    - 2024-09-01 00:00:00: 3519.04% (极端异常)
    - 2024-09-01 02:00:00: 3511.06% (极端异常)
    - 2024-08-31 23:00:00: 3495.43% (极端异常)
    - 2024-09-01 01:00:00: 3489.41% (极端异常)
    - 2024-08-31 22:00:00: 3472.08% (极端异常)
    - 2024-09-01 00:00:00: 3468.07% (极端异常)
    - 2024-08-31 21:00:00: 3448.51% (极端异常)

● GPU Group 1:
  检测到 22197 个异常值 (高于 51.39%)
  最高的 20 个异常值:
    - 2024-07-11 23:00:00: 10196.51% (极端异常)
    - 2024-07-12 08:00:00: 5790.76% (极端异常)
    - 2024-07-12 07:00:00: 4764.03% (极端异常)
    - 2024-06-26 04:00:00: 4102.53% (极端异常)
    - 2024-06-26 08:00:00: 4101.46% (极端异常)
    - 2024-06-25 22:00:00: 4099.70% (极端异常)
    - 2024-06-26 16:00:00: 4073.86% (极端异常)
    - 2024-06-25 18:00:00: 4062.80% (极端异常)
    - 2024-06-26 02:00:00: 4059.79% (极端异常)
    - 2024-06-24 18:00:00: 4052.89% (极端异常)
    - 2024-06-26 18:00:00: 4046.41% (极端异常)
    - 2024-06-26 00:00:00: 4039.38% (极端异常)
    - 2024-06-25 14:00:00: 4037.85% (极端异常)
    - 2024-06-26 06:00:00: 4033.90% (极端异常)
    - 2024-06-24 12:00:00: 4033.56% (极端异常)
    - 2024-06-25 08:00:00: 4032.43% (极端异常)
    - 2024-06-26 20:00:00: 4030.32% (极端异常)
    - 2024-06-26 14:00:00: 4029.98% (极端异常)
    - 2024-06-25 16:00:00: 4027.43% (极端异常)
